date,Lottery_result,year,Num,5year,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,max
2019/1/29,596,2019,274,2,0,0,0,0,2,,,,,,
2019/1/30,603,2019,275,4,1,1,1,1,0,,,,,,
2019/1/31,210,2019,276,0,0,0,0,0,0,,,,,,
2019/2/1,49,2019,277,1,0,0,1,0,0,,,,,,
2019/2/4,766,2019,278,2,0,0,1,0,1,,,,,,
2019/2/5,322,2019,279,0,0,0,0,0,0,,,,,,
2019/2/6,660,2019,280,2,0,0,0,0,2,,,,,,
2019/2/7,626,2019,281,4,1,0,0,1,2,,,,,,
2019/2/8,684,2019,282,3,1,0,1,1,0,,,,,,
2019/2/11,77,2019,283,2,1,0,0,0,1,,,,,,
2019/2/12,882,2019,284,0,0,0,0,0,0,,,,,,
2019/2/13,87,2019,285,1,1,0,0,0,0,,,,,,
2019/2/14,446,2019,286,1,0,1,0,0,0,,,,,,
2019/2/15,771,2019,287,2,0,0,1,0,1,,,,,,
2019/2/18,878,2019,288,0,0,0,0,0,0,,,,,,
2019/2/19,991,2019,289,0,0,0,0,0,0,,,,,,
2019/2/20,956,2019,290,0,0,0,0,0,0,,,,,,
2019/2/21,831,2019,291,2,1,0,0,1,0,,,,,,
2019/2/22,672,2019,292,1,0,0,0,1,0,,,,,,
2019/2/25,661,2019,293,1,0,0,0,1,0,,,,,,
2019/2/26,635,2019,294,1,0,0,0,1,0,,,,,,
2019/2/27,663,2019,295,1,1,0,0,0,0,,,,,,
2019/2/28,366,2019,296,0,0,0,0,0,0,,,,,,
2019/3/1,958,2019,297,2,0,2,0,0,0,,,,,,
2019/3/4,123,2019,298,1,0,0,0,1,0,,,,,,
2019/3/5,892,2019,299,1,1,0,0,0,0,,,,,,
2019/3/6,637,2019,300,2,1,0,1,0,0,,,,,,
2019/3/7,757,2019,301,0,0,0,0,0,0,,,,,,
2019/3/8,97,2019,302,2,0,1,0,0,1,,,,,,
2019/3/11,302,2019,303,0,0,0,0,0,0,,,,,,
2019/3/12,30,2019,304,2,1,1,0,0,0,,,,,,
2019/3/13,413,2019,305,0,0,0,0,0,0,,,,,,
2019/3/14,449,2019,306,0,0,0,0,0,0,,,,,,
2019/3/15,652,2019,307,0,0,0,0,0,0,,,,,,
2019/3/18,631,2019,308,1,1,0,0,0,0,,,,,,
2019/3/19,998,2019,309,1,1,0,0,0,0,,,,,,
2019/3/20,431,2019,310,0,0,0,0,0,0,,,,,,
2019/3/21,378,2019,311,0,0,0,0,0,0,,,,,,
2019/3/22,148,2019,312,1,0,0,1,0,0,,,,,,
2019/3/25,887,2019,313,2,1,0,0,1,0,,,,,,
2019/3/26,556,2019,314,2,0,1,1,0,0,,,,,,
2019/3/27,247,2019,315,0,0,0,0,0,0,,,,,,
2019/3/28,967,2019,316,1,0,0,1,0,0,,,,,,
2019/3/29,960,2019,317,3,1,1,1,0,0,,,,,,
2019/4/1,373,2019,318,1,0,0,0,0,1,,,,,,
2019/4/2,502,2019,319,2,1,0,0,0,1,,,,,,
2019/4/3,942,2019,320,1,1,0,0,0,0,,,,,,
2019/4/4,391,2019,321,1,0,0,1,0,0,,,,,,
2019/4/5,699,2019,322,3,1,1,1,0,0,,,,,,
2019/4/8,169,2019,323,1,0,1,0,0,0,,,,,,
2019/4/9,745,2019,324,0,0,0,0,0,0,,,,,,
2019/4/10,511,2019,325,3,0,1,1,1,0,,,,,,
2019/4/11,26,2019,326,0,0,0,0,0,0,,,,,,
2019/4/12,906,2019,327,1,1,0,0,0,0,,,,,,
2019/4/15,167,2019,328,0,0,0,0,0,0,,,,,,
2019/4/16,607,2019,329,2,1,0,0,0,1,,,,,,
2019/4/17,765,2019,330,2,1,0,0,0,1,,,,,,
2019/4/18,145,2019,331,0,0,0,0,0,0,,,,,,
2019/4/19,984,2019,332,1,0,0,1,0,0,,,,,,
2019/4/22,764,2019,333,0,0,0,0,0,0,,,,,,
2019/4/23,452,2019,334,0,0,0,0,0,0,,,,,,
2019/4/24,152,2019,335,2,0,1,0,1,0,,,,,,
2019/4/25,830,2019,336,0,0,0,0,0,0,,,,,,
2019/4/26,166,2019,337,1,0,0,1,0,0,,,,,,
2019/4/29,746,2019,338,1,0,0,0,0,1,,,,,,
2019/4/30,619,2019,339,3,1,1,1,0,0,,,,,,
2019/5/1,335,2019,340,1,0,1,0,0,0,,,,,,
2019/5/2,992,2019,341,0,0,0,0,0,0,,,,,,
2019/5/3,349,2019,342,1,0,1,0,0,0,,,,,,
2019/5/6,265,2019,343,2,1,0,1,0,0,,,,,,
