No,date,day of week,Lottery_result
765,2000/10/11,Wednesday,117
766,2000/10/13,Friday,835
767,2000/10/16,Monday,618
768,2000/10/18,Wednesday,192
769,2000/10/20,Friday,220
770,2000/10/23,Monday,325
771,2000/10/25,Wednesday,522
772,2000/10/27,Friday,574
773,2000/10/30,Monday,811
774,2000/11/1,Wednesday,80
775,2000/11/3,Friday,923
776,2000/11/6,Monday,302
777,2000/11/8,Wednesday,237
778,2000/11/10,Friday,226
779,2000/11/13,Monday,167
780,2000/11/15,Wednesday,33
781,2000/11/17,Friday,472
782,2000/11/20,Monday,14
783,2000/11/22,Wednesday,924
784,2000/11/24,Friday,703
785,2000/11/27,Monday,908
786,2000/11/29,Wednesday,160
787,2000/12/1,Friday,221
788,2000/12/4,Monday,433
789,2000/12/6,Wednesday,787
790,2000/12/8,Friday,807
791,2000/12/11,Monday,552
792,2000/12/13,Wednesday,220
793,2000/12/15,Friday,685
794,2000/12/18,Monday,199
795,2000/12/20,Wednesday,461
796,2000/12/22,Friday,360
797,2000/12/25,Monday,418
798,2000/12/27,Wednesday,477
799,2000/12/29,Friday,953
800,2001/1/5,Friday,817
801,2001/1/8,Monday,793
802,2001/1/10,Wednesday,468
803,2001/1/12,Friday,405
804,2001/1/15,Monday,331
805,2001/1/17,Wednesday,224
806,2001/1/19,Friday,221
807,2001/1/22,Monday,122
808,2001/1/24,Wednesday,296
809,2001/1/26,Friday,127
810,2001/1/29,Monday,929
811,2001/1/31,Wednesday,559
812,2001/2/2,Friday,614
813,2001/2/5,Monday,96
814,2001/2/7,Wednesday,873
815,2001/2/9,Friday,839
816,2001/2/12,Monday,650
817,2001/2/14,Wednesday,922
818,2001/2/16,Friday,427
819,2001/2/19,Monday,369
820,2001/2/21,Wednesday,33
821,2001/2/23,Friday,292
822,2001/2/26,Monday,459
823,2001/2/28,Wednesday,535
824,2001/3/2,Friday,102
825,2001/3/5,Monday,339
826,2001/3/7,Wednesday,823
827,2001/3/9,Friday,802
828,2001/3/12,Monday,939
829,2001/3/14,Wednesday,442
830,2001/3/16,Friday,247
831,2001/3/19,Monday,764
832,2001/3/21,Wednesday,626
833,2001/3/23,Friday,826
834,2001/3/26,Monday,594
835,2001/3/28,Wednesday,309
836,2001/3/30,Friday,926
837,2001/4/2,Monday,539
838,2001/4/4,Wednesday,524
839,2001/4/6,Friday,679
840,2001/4/9,Monday,59
841,2001/4/11,Wednesday,306
842,2001/4/13,Friday,219
843,2001/4/16,Monday,768
844,2001/4/18,Wednesday,170
845,2001/4/20,Friday,274
846,2001/4/23,Monday,531
847,2001/4/25,Wednesday,473
848,2001/4/27,Friday,98
849,2001/4/30,Monday,539
850,2001/5/2,Wednesday,646
851,2001/5/4,Friday,717
852,2001/5/7,Monday,57
853,2001/5/9,Wednesday,363
854,2001/5/11,Friday,112
855,2001/5/14,Monday,939
856,2001/5/16,Wednesday,99
857,2001/5/18,Friday,921
858,2001/5/21,Monday,510
859,2001/5/23,Wednesday,400
860,2001/5/25,Friday,963
861,2001/5/28,Monday,931
862,2001/5/30,Wednesday,883
863,2001/6/1,Friday,585
864,2001/6/4,Monday,426
865,2001/6/6,Wednesday,329
866,2001/6/8,Friday,571
867,2001/6/11,Monday,432
868,2001/6/13,Wednesday,634
869,2001/6/15,Friday,245
870,2001/6/18,Monday,772
871,2001/6/20,Wednesday,639
872,2001/6/22,Friday,755
873,2001/6/25,Monday,367
874,2001/6/27,Wednesday,454
875,2001/6/29,Friday,778
876,2001/7/2,Monday,845
877,2001/7/4,Wednesday,589
878,2001/7/6,Friday,318
879,2001/7/9,Monday,908
880,2001/7/11,Wednesday,678
881,2001/7/13,Friday,494
882,2001/7/16,Monday,703
883,2001/7/18,Wednesday,745
884,2001/7/20,Friday,388
