cols,importtance,model_name,model_target
store_川崎多摩店,0.0004139287623250443,GradientBoosting,y_weekday
store_成田店,0.000403240896998081,GradientBoosting,y_weekday
store_旭店,0.0003967393821268445,GradientBoosting,y_weekday
store_練馬店,0.0003551178660581215,GradientBoosting,y_weekday
store_中店,0.000354666638234413,GradientBoosting,y_weekday
store_北千住店,0.00034973072602944015,GradientBoosting,y_weekday
store_座間店,0.00034764060433048336,GradientBoosting,y_weekday
store_浦安店,0.00034083926417814074,GradientBoosting,y_weekday
store_取手店,0.00033811723961621085,GradientBoosting,y_weekday
store_足柄上店,0.0003107398341441257,GradientBoosting,y_weekday
store_松戸店,0.0002749900085975498,GradientBoosting,y_weekday
store_西東京店,0.0002668215699422892,GradientBoosting,y_weekday
store_秦野店,0.0002487197010746863,GradientBoosting,y_weekday
store_狭山店,0.00020168717864775328,GradientBoosting,y_weekday
store_藤沢店,0.00011739741339053033,GradientBoosting,y_weekday
store_福生店,0.00011229874640323994,GradientBoosting,y_weekday
store_上野店,0.00010223389964672186,GradientBoosting,y_weekday
store_都筑店,0.0,GradientBoosting,y_weekday
store_浦和店,0.0,GradientBoosting,y_weekday
store_高崎店,0.0,GradientBoosting,y_weekday
store_高島平店,0.0,GradientBoosting,y_weekday
store_海老名店,0.0,GradientBoosting,y_weekday
store_清瀬店,0.0,GradientBoosting,y_weekday
store_高円寺店,0.0,GradientBoosting,y_weekday
store_港南店,0.0,GradientBoosting,y_weekday
store_港北店,0.0,GradientBoosting,y_weekday
store_高座店,0.0,GradientBoosting,y_weekday
store_瀬谷店,0.0,GradientBoosting,y_weekday
store_熊谷店,0.0,GradientBoosting,y_weekday
store_狛江店,0.0,GradientBoosting,y_weekday
store_王子店,0.0,GradientBoosting,y_weekday
store_町田店,0.0,GradientBoosting,y_weekday
store_駒込店,0.0,GradientBoosting,y_weekday
store_浅草店,0.0,GradientBoosting,y_weekday
store_流山店,0.0,GradientBoosting,y_weekday
store_目黒店,0.0,GradientBoosting,y_weekday
store_泉店,0.0,GradientBoosting,y_weekday
store_柏店,0.0,GradientBoosting,y_weekday
store_栃木店,0.0,GradientBoosting,y_weekday
store_鴻巣店,0.0,GradientBoosting,y_weekday
store_栄店,0.0,GradientBoosting,y_weekday
store_桐生店,0.0,GradientBoosting,y_weekday
store_横浜南店,0.0,GradientBoosting,y_weekday
store_横浜緑店,0.0,GradientBoosting,y_weekday
store_横須賀店,0.0,GradientBoosting,y_weekday
store_武蔵村山店,0.0,GradientBoosting,y_weekday
store_武蔵野店,0.0,GradientBoosting,y_weekday
store_水戸店,0.0,GradientBoosting,y_weekday
store_江戸川店,0.0,GradientBoosting,y_weekday
store_高田馬場店,0.0,GradientBoosting,y_weekday
store_江東店,0.0,GradientBoosting,y_weekday
store_池尻店,0.0,GradientBoosting,y_weekday
store_高津店,0.0,GradientBoosting,y_weekday
store_池袋店,0.0,GradientBoosting,y_weekday
store_白井店,0.0,GradientBoosting,y_weekday
store_磯子店,0.0,GradientBoosting,y_weekday
store_相模原店,0.0,GradientBoosting,y_weekday
store_石神井店,0.0,GradientBoosting,y_weekday
store_葛飾店,0.0,GradientBoosting,y_weekday
store_蒲田店,0.0,GradientBoosting,y_weekday
store_行田店,0.0,GradientBoosting,y_weekday
