cols,importance,model_name,model_target
store_栃木店,0.0006413892294800899,RandomForest,y_weekday
store_武蔵村山店,0.0006395774718634938,RandomForest,y_weekday
store_鴻巣店,0.0006392573185392173,RandomForest,y_weekday
store_葛飾店,0.000638918512798004,RandomForest,y_weekday
store_旭店,0.0006343262203684524,RandomForest,y_weekday
store_大久保店,0.0006250875276486004,RandomForest,y_weekday
store_さいたま緑店,0.0006249541527075723,RandomForest,y_weekday
store_谷中店,0.0006245120952501907,RandomForest,y_weekday
store_東村山店,0.0006225444430885801,RandomForest,y_weekday
store_羽生店,0.0006210593822951373,RandomForest,y_weekday
store_本郷店,0.0006201944344287175,RandomForest,y_weekday
store_江東店,0.0006161793623777922,RandomForest,y_weekday
store_富岡店,0.0006157425981781808,RandomForest,y_weekday
store_亀有店,0.0006142548763089563,RandomForest,y_weekday
store_保土ケ谷店,0.0006029218875452736,RandomForest,y_weekday
store_白井店,0.0006027414654996014,RandomForest,y_weekday
store_墨田店,0.0006009198397696092,RandomForest,y_weekday
store_目黒店,0.0006003076946196698,RandomForest,y_weekday
store_座間店,0.0005964783911587385,RandomForest,y_weekday
store_東松山店,0.0005920133103559535,RandomForest,y_weekday
store_栄店,0.0005916001990734764,RandomForest,y_weekday
store_世田谷店,0.0005903652100486537,RandomForest,y_weekday
store_西葛西店,0.0005866920626539045,RandomForest,y_weekday
store_南砂店,0.0005863453015637452,RandomForest,y_weekday
store_浦和店,0.0005857257965740204,RandomForest,y_weekday
store_大和店,0.0005811472097504938,RandomForest,y_weekday
store_駒込店,0.0005803054693567062,RandomForest,y_weekday
store_船橋店,0.0005783574941105651,RandomForest,y_weekday
store_東中野店,0.0005723572632204123,RandomForest,y_weekday
store_久喜店,0.0005719458987712544,RandomForest,y_weekday
store_狛江店,0.000564843796239392,RandomForest,y_weekday
store_さいたま西店,0.0005635250604228237,RandomForest,y_weekday
store_稲城店,0.0005565283935015745,RandomForest,y_weekday
store_五反田店,0.0005519584009931176,RandomForest,y_weekday
store_三浦店,0.0005503816395040118,RandomForest,y_weekday
store_川越店,0.0005423504000056516,RandomForest,y_weekday
store_新座店,0.0005406065706736596,RandomForest,y_weekday
store_立川店,0.0005404769892322331,RandomForest,y_weekday
store_戸塚店,0.0005404245876089935,RandomForest,y_weekday
store_高座店,0.0005400418175231147,RandomForest,y_weekday
store_磯子店,0.0005335061282356275,RandomForest,y_weekday
store_富津店,0.0005323645835085344,RandomForest,y_weekday
store_上尾店,0.0005288587600643578,RandomForest,y_weekday
store_高島平店,0.0005270911930628638,RandomForest,y_weekday
store_茂原店,0.0005261151757487861,RandomForest,y_weekday
store_浦安店,0.0005242540952490236,RandomForest,y_weekday
store_小金井店,0.0005228611808662571,RandomForest,y_weekday
store_千葉中央店,0.0005173172718632169,RandomForest,y_weekday
store_足柄上店,0.0005142731308630381,RandomForest,y_weekday
store_日本橋店,0.0005115084925969585,RandomForest,y_weekday
store_小平店,0.0005114140700213371,RandomForest,y_weekday
store_柏店,0.0005113208177919043,RandomForest,y_weekday
store_江戸川店,0.0005100969137243052,RandomForest,y_weekday
store_品川店,0.0005098950036754334,RandomForest,y_weekday
store_前橋店,0.000509227537483291,RandomForest,y_weekday
store_荒川店,0.0005020200958533944,RandomForest,y_weekday
store_東大和店,0.0004979984592057184,RandomForest,y_weekday
store_池袋店,0.0004967849401821088,RandomForest,y_weekday
store_高円寺店,0.0004959007489071227,RandomForest,y_weekday
store_港北店,0.0004936375848108912,RandomForest,y_weekday
store_幸店,0.0004913704946890134,RandomForest,y_weekday
store_戸田店,0.0004910547793052485,RandomForest,y_weekday
store_板橋店,0.0004879750737099951,RandomForest,y_weekday
store_厚木店,0.000486550945845751,RandomForest,y_weekday
store_市川店,0.00048385181259245907,RandomForest,y_weekday
store_守谷店,0.0004830330096856661,RandomForest,y_weekday
store_小田原店,0.0004758165733652901,RandomForest,y_weekday
store_練馬店,0.0004692444108660066,RandomForest,y_weekday
store_横須賀店,0.00046713643503952924,RandomForest,y_weekday
store_熊谷店,0.00046480820908942946,RandomForest,y_weekday
store_昭島店,0.00046463335516586893,RandomForest,y_weekday
store_大井店,0.0004644213862598953,RandomForest,y_weekday
store_大泉店,0.00046424130109094385,RandomForest,y_weekday
store_大宮店,0.00046352961038348964,RandomForest,y_weekday
