cols,importance,model_name
store_足柄上店,0.0003107398341441257,GradientBoostingClassifier
store_松戸店,0.0002749900085975498,GradientBoostingClassifier
store_西東京店,0.0002668215699422892,GradientBoostingClassifier
store_秦野店,0.0002487197010746863,GradientBoostingClassifier
store_狭山店,0.00020168717864775328,GradientBoostingClassifier
store_藤沢店,0.00011739741339053033,GradientBoostingClassifier
store_福生店,0.00011229874640323994,GradientBoostingClassifier
store_上野店,0.00010223389964672186,GradientBoostingClassifier
store_都筑店,0.0,GradientBoostingClassifier
store_浦和店,0.0,GradientBoostingClassifier
store_高崎店,0.0,GradientBoostingClassifier
store_高島平店,0.0,GradientBoostingClassifier
store_海老名店,0.0,GradientBoostingClassifier
store_清瀬店,0.0,GradientBoostingClassifier
store_高円寺店,0.0,GradientBoostingClassifier
store_港南店,0.0,GradientBoostingClassifier
store_港北店,0.0,GradientBoostingClassifier
store_高座店,0.0,GradientBoostingClassifier
store_瀬谷店,0.0,GradientBoostingClassifier
store_熊谷店,0.0,GradientBoostingClassifier
store_狛江店,0.0,GradientBoostingClassifier
store_王子店,0.0,GradientBoostingClassifier
store_町田店,0.0,GradientBoostingClassifier
store_駒込店,0.0,GradientBoostingClassifier
store_浅草店,0.0,GradientBoostingClassifier
store_流山店,0.0,GradientBoostingClassifier
store_目黒店,0.0,GradientBoostingClassifier
store_泉店,0.0,GradientBoostingClassifier
store_柏店,0.0,GradientBoostingClassifier
store_栃木店,0.0,GradientBoostingClassifier
store_鴻巣店,0.0,GradientBoostingClassifier
store_栄店,0.0,GradientBoostingClassifier
store_桐生店,0.0,GradientBoostingClassifier
store_横浜南店,0.0,GradientBoostingClassifier
store_横浜緑店,0.0,GradientBoostingClassifier
store_横須賀店,0.0,GradientBoostingClassifier
store_武蔵村山店,0.0,GradientBoostingClassifier
store_武蔵野店,0.0,GradientBoostingClassifier
store_水戸店,0.0,GradientBoostingClassifier
store_江戸川店,0.0,GradientBoostingClassifier
store_高田馬場店,0.0,GradientBoostingClassifier
store_江東店,0.0,GradientBoostingClassifier
store_池尻店,0.0,GradientBoostingClassifier
store_高津店,0.0,GradientBoostingClassifier
store_池袋店,0.0,GradientBoostingClassifier
store_白井店,0.0,GradientBoostingClassifier
store_磯子店,0.0,GradientBoostingClassifier
store_相模原店,0.0,GradientBoostingClassifier
store_石神井店,0.0,GradientBoostingClassifier
store_葛飾店,0.0,GradientBoostingClassifier
store_蒲田店,0.0,GradientBoostingClassifier
store_行田店,0.0,GradientBoostingClassifier
store_青山店,0.0,GradientBoostingClassifier
store_西多摩店,0.0,GradientBoostingClassifier
store_西葛西店,0.0,GradientBoostingClassifier
store_調布店,0.0,GradientBoostingClassifier
store_谷中店,0.0,GradientBoostingClassifier
store_鎌倉店,0.0,GradientBoostingClassifier
store_赤坂店,0.0,GradientBoostingClassifier
store_赤羽店,0.0,GradientBoostingClassifier
store_越谷店,0.0,GradientBoostingClassifier
store_足利店,0.0,GradientBoostingClassifier
store_銀座店,0.0,GradientBoostingClassifier
store_金沢店,0.0,GradientBoostingClassifier
store_足立店,0.0,GradientBoostingClassifier
store_逗子店,0.0,GradientBoostingClassifier
store_荻窪店,0.0,GradientBoostingClassifier
store_荒川店,0.0,GradientBoostingClassifier
store_板橋店,0.0,GradientBoostingClassifier
store_綾瀬店,0.0,GradientBoostingClassifier
store_那珂店,0.0,GradientBoostingClassifier
store_神奈川店,0.0,GradientBoostingClassifier
store_駒沢店,0.0,GradientBoostingClassifier
store_神田店,0.0,GradientBoostingClassifier
store_稲城店,0.0,GradientBoostingClassifier
store_立川店,0.0,GradientBoostingClassifier
store_館林店,0.0,GradientBoostingClassifier
store_青葉店,0.0,GradientBoostingClassifier
store_茅ヶ崎店,0.0,GradientBoostingClassifier
store_羽村店,0.0,GradientBoostingClassifier
store_羽生店,0.0,GradientBoostingClassifier
store_習志野店,0.0,GradientBoostingClassifier
store_自由が丘店,0.0,GradientBoostingClassifier
store_船橋店,0.0,GradientBoostingClassifier
store_青梅店,0.0,GradientBoostingClassifier
store_茂原店,0.0,GradientBoostingClassifier
store_草加店,0.0,GradientBoostingClassifier
store_日本橋店,0.0,GradientBoostingClassifier
store_東松山店,0.0,GradientBoostingClassifier
store_大和店,0.0,GradientBoostingClassifier
store_八王子店,0.0,GradientBoostingClassifier
store_六本木店,0.0,GradientBoostingClassifier
store_前橋店,0.0,GradientBoostingClassifier
store_千葉中央店,0.0,GradientBoostingClassifier
store_千葉緑店,0.0,GradientBoostingClassifier
store_南砂店,0.0,GradientBoostingClassifier
store_南足柄店,0.0,GradientBoostingClassifier
store_厚木店,0.0,GradientBoostingClassifier
store_向島店,0.0,GradientBoostingClassifier
store_君津店,0.0,GradientBoostingClassifier
store_和光店,0.0,GradientBoostingClassifier
store_品川店,0.0,GradientBoostingClassifier
store_四街道店,0.0,GradientBoostingClassifier
store_国分寺店,0.0,GradientBoostingClassifier
store_国立店,0.0,GradientBoostingClassifier
store_坂戸店,0.0,GradientBoostingClassifier
store_墨田店,0.0,GradientBoostingClassifier
store_多摩店,0.0,GradientBoostingClassifier
store_大久保店,0.0,GradientBoostingClassifier
store_八潮店,0.0,GradientBoostingClassifier
store_八千代店,0.0,GradientBoostingClassifier
store_保土ケ谷店,0.0,GradientBoostingClassifier
store_中原店,0.0,GradientBoostingClassifier
store_あきる野店,0.0,GradientBoostingClassifier
store_さいたま南店,0.0,GradientBoostingClassifier
store_さいたま緑店,0.0,GradientBoostingClassifier
store_さいたま西店,0.0,GradientBoostingClassifier
store_つくば店,0.0,GradientBoostingClassifier
store_三浦店,0.0,GradientBoostingClassifier
store_三鷹店,0.0,GradientBoostingClassifier
store_世田谷店,0.0,GradientBoostingClassifier
store_中野店,0.0,GradientBoostingClassifier
store_佐野店,0.0,GradientBoostingClassifier
store_久喜店,0.0,GradientBoostingClassifier
store_九段店,0.0,GradientBoostingClassifier
store_亀有店,0.0,GradientBoostingClassifier
store_五反田店,0.0,GradientBoostingClassifier
store_代々木店,0.0,GradientBoostingClassifier
store_伊勢原店,0.0,GradientBoostingClassifier
store_伊勢崎店,0.0,GradientBoostingClassifier
store_佐倉店,0.0,GradientBoostingClassifier
store_大井店,0.0,GradientBoostingClassifier
store_大塚店,0.0,GradientBoostingClassifier
store_東村山店,0.0,GradientBoostingClassifier
store_大宮店,0.0,GradientBoostingClassifier
store_恵比寿店,0.0,GradientBoostingClassifier
store_愛甲店,0.0,GradientBoostingClassifier
store_成城店,0.0,GradientBoostingClassifier
store_我孫子店,0.0,GradientBoostingClassifier
store_戸塚店,0.0,GradientBoostingClassifier
store_所沢店,0.0,GradientBoostingClassifier
store_新宿店,0.0,GradientBoostingClassifier
store_新座店,0.0,GradientBoostingClassifier
store_日立店,0.0,GradientBoostingClassifier
store_日野店,0.0,GradientBoostingClassifier
store_春日部店,0.0,GradientBoostingClassifier
store_昭島店,0.0,GradientBoostingClassifier
store_木更津店,0.0,GradientBoostingClassifier
store_本庄店,0.0,GradientBoostingClassifier
store_本郷店,0.0,GradientBoostingClassifier
store_杉並店,0.0,GradientBoostingClassifier
store_東中野店,0.0,GradientBoostingClassifier
store_東久留米店,0.0,GradientBoostingClassifier
store_東大和店,0.0,GradientBoostingClassifier
store_志木店,0.0,GradientBoostingClassifier
store_府中店,0.0,GradientBoostingClassifier
store_幸店,0.0,GradientBoostingClassifier
store_小山店,0.0,GradientBoostingClassifier
store_大森店,0.0,GradientBoostingClassifier
store_大泉店,0.0,GradientBoostingClassifier
store_太田店,0.0,GradientBoostingClassifier
store_宇都宮店,0.0,GradientBoostingClassifier
store_守谷店,0.0,GradientBoostingClassifier
store_宮前店,0.0,GradientBoostingClassifier
store_富岡店,0.0,GradientBoostingClassifier
store_富里店,0.0,GradientBoostingClassifier
store_小平店,0.0,GradientBoostingClassifier
store_平塚店,0.0,GradientBoostingClassifier
store_小田原店,0.0,GradientBoostingClassifier
store_小金井店,0.0,GradientBoostingClassifier
store_川口店,0.0,GradientBoostingClassifier
store_川崎店,0.0,GradientBoostingClassifier
store_川越店,0.0,GradientBoostingClassifier
store_巣鴨店,0.0,GradientBoostingClassifier
store_市原店,0.0,GradientBoostingClassifier
store_市川店,0.0,GradientBoostingClassifier
store_鶴見店,0.0,GradientBoostingClassifier
